J1	J2	J3	J4	J5	J6	J7	J8	J9	J10	J11	J12	J13	J14	J15	J16	J17	J18	J19	J20	J21	J22	J23	J24	J25	J26	J27	J28	J29	J30	J31	J32
-0.065315479	0.167077781	-0.328101109	0.178710031	-0.122888168	-0.288973571	-0.017391554	0.00524469	-0.245249487	-0.079649878	-0.135809018	0.05052063	-0.12059277	-0.164177794	0.21263225	-0.049085194	-0.224431296	0.164787544	0.015342256	-0.098015196	0.267120785	-0.258387672	0.02120949	0.062215259	-0.087536949	-0.050358791	-0.104423495	0.117878711	0.033007149	-0.03205959	-0.157879733	-0.300636192
-0.035526251	0.032762068	-0.337884668	0.191179007	-0.10506384	0.005568216	-0.123398932	0.069222169	-0.021193731	-0.019181294	-0.114997717	0.050798966	-0.051288699	-0.155543846	0.172436973	-0.047322027	0.004454427	0.040948124	-0.052266585	-0.009799839	0.355666745	-0.041510612	0.006036075	0.132994002	-0.046705543	-0.05768743	0.001177688	-0.161723953	0.085452275	0.01971389	-0.14849771	-0.340431545
-0.044102658	0.09288324	-0.240969163	0.067870291	-0.088630211	-0.134940507	-0.101909574	0.003029027	-0.126898175	0.032368408	0.196551946	-0.006334044	-0.078344365	-0.128212665	0.066778684	-0.003870071	-0.112252557	0.098071304	-0.064831156	0.038417522	0.251775417	-0.002481874	-0.001109531	0.046957211	0.004924537	-0.037262292	-0.063541892	-0.124666104	0.053204607	-0.004659104	-0.138713146	-0.234128182
-0.043236643	0.14860866	-0.391307571	0.184465181	-0.125792321	-0.089566222	-0.055908883	0.037116292	-0.088770154	0.002413914	-0.002097391	0.056184934	-0.052920994	-0.182473566	0.368698907	-0.011722346	-0.060922377	0.157908446	-0.008086561	0.004136844	0.362068431	-0.19989724	0.054315212	0.099570969	-0.018293026	-0.024072658	-0.009465065	-0.250555739	0.091636303	0.007319769	-0.156037807	-0.374894807
-0.01112416	0.241049146	-0.196780078	0.119992265	-0.100394622	-0.231268652	-0.110160299	0.01965124	-0.208677812	0.009169194	0.037037836	0.005297063	-0.106191053	-0.115000863	0.066970446	-0.012933072	-0.166266633	0.250479284	-0.064606247	0.009315845	0.216300454	-0.068708348	0.076803203	0.064492823	-0.026984693	-0.039676885	-0.051818504	0.090799239	0.05564521	-0.02515226	-0.123590609	-0.183611053
-0.055097467	0.316151698	-0.3417896	0.112520506	-0.057974458	-0.243986253	-0.259984837	0.02724245	-0.23139108	-0.006518195	0.154530373	-0.04418013	-0.127086465	-0.117658337	0.293018884	-0.033965838	-0.160060224	0.333504621	-0.177310977	-0.012976785	0.349380548	-0.128501323	0.124484921	0.073953759	-0.086970992	-0.061066347	-0.024478796	-0.070940074	0.090813577	0.064170708	-0.152364515	-0.308319217
-0.036309587	0.087085074	-0.275724318	0.061285066	-0.113987293	-0.10825297	0.078746991	-0.012435451	-0.097713327	-0.023855517	-0.031391926	0.046647987	-0.057379958	-0.148263721	0.061507062	-0.023899201	-0.090096642	0.092420927	0.071215649	-0.014496453	0.238626539	-0.1162159	0.003431388	0.008697357	0.008040899	-0.027563732	-0.050177915	-0.137747634	0.057580603	-0.02546838	-0.048306101	-0.26641122
-0.06786325	0.386962965	-0.387277666	0.00823254	-0.129231214	-0.46884395	-0.137227228	0.002913728	-0.390241972	-0.065041257	0.098448598	-0.010159519	-0.165409393	-0.202747568	-0.017283765	-0.0373433	-0.3290939	0.399958439	-0.085518939	-0.094529129	0.326003921	-0.058335402	0.125489361	0.047413473	-0.12224458	-0.049650991	-0.102025494	-0.227527156	0.084803701	-0.011530409	-0.14824646	-0.368693099
-0.086101983	0.286152047	-0.376131905	0.096583913	-0.123194389	-0.366880001	-0.099255673	0.011518388	-0.306166645	-0.079138933	0.174674311	-0.004391216	-0.139344669	-0.194674588	0.018401982	-0.046798744	-0.265562671	0.293685093	-0.060425147	-0.104947789	0.321685818	-0.099540227	0.079380932	0.037137175	-0.119036714	-0.051706778	-0.095618285	-0.352111912	0.063250797	-0.01481753	-0.092336155	-0.340273502
-0.034116301	0.389352493	-0.315672313	0.02381805	-0.063551591	-0.4542037	-0.193154676	0.018443402	-0.390707746	-0.020733139	0.034247963	-0.002786057	-0.181147738	-0.124637687	0.184085908	-0.030913253	-0.320432139	0.407969297	-0.115085652	-0.033961286	0.332602961	-0.006582333	0.121681879	0.085711866	-0.084830091	-0.063717778	-0.102625201	-0.171711328	0.108425812	0.050554035	-0.212281365	-0.293047022
